Raw feature,Mean absolute SHAP,Normalized importance
PageValues,1.62025,1.0
Month,0.79369,0.4898565
ExitRates,0.24466662,0.15100548
BounceRates,0.09787363,0.0604065
Administrative_Duration,0.093732126,0.05785041
VisitorType,0.079406716,0.04900893
ProductRelated,0.0746291,0.046060238
ProductRelated_Duration,0.06588518,0.04066359
Administrative,0.049180474,0.030353634
Region,0.018695131,0.011538424
Browser,0.011414789,0.0070450786
TrafficType,0.008675182,0.0053542247
OperatingSystems,0.0072114086,0.0044508
Informational_Duration,0.0035940572,0.0022182115
Informational,0.002349234,0.0014499207
Weekend,0.0018570927,0.0011461767
SpecialDay,6.33202e-05,3.908051e-05
